,region,mag_total,mag_x,mag_y,mag_z,mag_variability
0,solar_wind,19.341732445673006,-8.523,-17.333,-1.014,0.9212759009045755
1,solar_wind,20.166470117499493,-7.782,-18.473,-2.208,1.7686981345430226
2,solar_wind,19.252709965093224,-8.825,-17.046,-1.49,0.8782422445700959
3,solar_wind,18.83151544618754,-8.835,-16.605,-0.918,0.5286815396544355
4,solar_wind,18.3677179039749,-8.11,-16.456,-0.895,0.1613362942772305
5,solar_wind,17.74749618960376,-8.471,-15.578,-0.736,0.4037198313047199
6,solar_wind,17.65588499622718,-8.195,-15.577,-1.389,0.49047618223676537
7,solar_wind,18.008409757666,-9.05,-15.569,-0.081,0.13701733865499577
8,solar_wind,17.971039925391075,-8.656,-15.744,-0.398,0.1291869531456662
9,solar_wind,18.360273854166774,-7.976,-16.514,-0.878,0.3135687895870447
10,solar_wind,18.419815145652247,-8.467,-16.301,-1.37,0.42832590418307603
11,solar_wind,18.377946702501887,-7.46,-16.51,-3.085,0.42521404198931734
12,solar_wind,18.280455738301495,-7.846,-16.239,-2.985,0.3597145729891835
13,solar_wind,18.21814576184964,-7.513,-16.521,-1.585,0.3556724766490973
14,solar_wind,17.965986251803713,-7.943,-16.002,-1.903,0.13722602478453183
15,solar_wind,17.99020388989519,-7.086,-16.166,-3.478,0.2216598037191666
16,solar_wind,17.63363266601638,-6.447,-16.034,-3.506,0.07780075707117007
17,solar_wind,18.38480837539516,-8.547,-15.863,-3.649,0.7450509957000868
18,solar_wind,18.27001932128152,-8.961,-15.807,-1.906,0.7140070341969391
19,solar_wind,17.892339478111854,-9.39,-14.904,-3.136,0.40765366288033533
20,solar_wind,17.390405199419593,-7.27,-15.293,-3.962,0.0471435446738937
21,solar_wind,17.53362720602899,-8.009,-14.949,-4.451,0.14624459262342526
22,solar_wind,17.09753745426516,-8.175,-14.781,-2.649,0.2586846171864039
23,solar_wind,14.553825957458747,-7.823,-12.011,-2.52,2.7826349083917155
24,solar_wind,12.800351323303591,-7.089,-10.472,-1.983,4.51527302420444
25,solar_wind,15.184360836070775,-7.615,-12.61,-3.683,2.1047956060754682
26,solar_wind,16.851886155561342,-8.199,-13.671,-5.465,0.4333645461312976
27,solar_wind,16.701700182915513,-8.818,-13.553,-4.184,0.5894019906778887
28,solar_wind,16.763763569079586,-9.122,-13.822,-2.601,0.500058225287173
29,solar_wind,17.723596615811363,-9.448,-14.457,-3.982,0.4660184523480133
30,solar_wind,17.65721206759436,-9.821,-14.296,-3.309,0.4069086608011254
31,solar_wind,17.776679161193183,-11.605,-13.181,-2.756,0.5383306013211495
32,solar_wind,17.817498730180958,-9.352,-14.869,-2.986,0.5690269905314516
33,solar_wind,17.343863871698257,-9.785,-13.89,-3.483,0.04976137673026315
34,solar_wind,17.44146143532703,-8.374,-15.099,-2.47,0.07966567749522113
35,solar_wind,16.76206043420677,-9.153,-13.994,-1.165,0.6416057752254147
