,region,mag_total,mag_x,mag_y,mag_z,mag_variability
0,solar_wind,24.92918518524021,-12.767,-20.983,4.264,0.7632903823883908
1,solar_wind,27.450070692076554,-12.996,-23.978,-3.109,1.955892861982555
2,solar_wind,29.681187408862197,-14.689,-24.697,-7.434,4.278660971976972
3,solar_wind,32.59907676606809,-14.598,-28.709,-5.039,7.296976764758959
4,solar_wind,28.233752903218516,-13.623,-24.657,-1.895,3.024620672397514
5,solar_wind,25.055928520012984,-13.525,-20.885,2.948,0.02453887975766733
6,solar_wind,23.712662798597712,-13.812,-19.157,-2.128,1.2401778164651454
7,solar_wind,26.10210874622968,-15.206,-20.982,-3.139,1.248047155857762
8,solar_wind,23.312898404102395,-15.236,-17.62,-0.944,1.4608576768825685
9,solar_wind,22.70222702732047,-15.744,-16.23,-2.026,2.0048179246533024
10,solar_wind,23.882344734133625,-16.975,-16.649,2.242,0.5669599508352725
11,solar_wind,23.525812292033617,-16.058,-16.528,4.736,0.7403825721736759
12,solar_wind,23.29251995813248,-14.269,-18.41,-0.095,0.9487656223252614
13,solar_wind,24.35424486614192,-15.347,-18.905,0.447,0.24818925094844246
14,solar_wind,22.48215309973669,-12.344,-18.766,0.954,1.5956766759075585
15,solar_wind,21.202713835733388,-13.316,-16.497,0.297,2.6665408573099754
16,solar_wind,19.60154241379999,-10.39,-16.386,2.787,4.063436132295276
17,solar_wind,19.546467839484453,-11.024,-15.577,4.23,3.9048797467531102
18,solar_wind,22.21022633833343,-15.783,-15.013,4.336,1.028830558118603
19,solar_wind,20.91166930209064,-14.988,-13.875,4.488,2.220553862008188
20,solar_wind,21.642690775409605,-13.068,-16.732,4.204,1.412114712183076
21,solar_wind,22.768310719067415,-12.946,-17.024,7.809,0.15997241250604333
22,solar_wind,23.473611630935704,-12.639,-19.691,1.879,0.7301567290558921
23,solar_wind,20.41808595338946,-13.076,-15.647,1.043,2.143691774669918
24,solar_wind,21.725940739125658,-11.974,-17.769,3.592,0.585398807439045
25,solar_wind,21.881297470671154,-13.783,-16.929,-1.493,0.29094655419414295
26,solar_wind,23.213205099684103,-16.729,-15.939,-2.223,1.0985291933618662
27,solar_wind,23.77805082423705,-17.524,-16.065,0.47,1.7150274951713236
28,solar_wind,24.21690715182267,-17.436,-16.78,-0.936,2.2873703073757277
29,solar_wind,24.765294143215826,-19.065,-15.687,-1.94,2.9352955836933567
30,solar_wind,18.58088019981831,-13.656,-11.753,4.542,3.1355423114866703
31,solar_wind,18.843683318289976,-14.144,-12.007,3.296,2.7009255338215716
32,solar_wind,20.28970906642084,-15.198,-12.957,3.579,1.0813610206997204
33,solar_wind,21.534946343095445,-14.977,-15.356,1.907,0.20859550877805333
34,solar_wind,23.313247500080294,-15.241,-17.562,-1.672,2.143718758264612
35,solar_wind,21.022391062864376,-14.251,-15.439,-0.698,0.028004187755826138
36,solar_wind,20.567053896948877,-12.009,-16.188,4.091,0.4723273915874522
37,solar_wind,22.183558055460804,-17.16,-13.722,3.058,1.095992239100017
38,solar_wind,23.601246259466894,-17.482,-15.375,3.874,2.544152149872936
39,solar_wind,21.663257049668225,-14.452,-15.429,4.731,0.7088653516649224
40,solar_wind,20.974864600278114,-15.256,-14.105,2.872,0.03664846630490359
41,solar_wind,19.74176858845225,-15.791,-11.745,1.561,1.145335252585113
